,pointid_in_layer,layer_name,lclass,index,geometry,id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDBI,NDWI,NDVI,BSI
16,329,RoadsAndPavements,1,16,POINT (485599.2311591924 1288734.7096487856),2999,0.07065833359956741,0.10499999672174454,0.12399999797344208,0.1281999945640564,0.11785624921321869,0.09526874870061874,0.09595625102519989,0.11180000007152557,0.0898749977350235,0.035735417157411575,0.08119375258684158,0.07728750258684158,-0.15858674049377441,0.051738761365413666,-0.06833333522081375,-0.0267886221408844
17,60,Water,4,17,POINT (486186.4466443746 1283768.814844212),4130,0.04402986168861389,0.05180000141263008,0.057999998331069946,0.04560000076889992,0.06709375232458115,0.03658125177025795,0.03727500140666962,0.02930000051856041,0.023137500509619713,0.040947917848825455,0.016068749129772186,0.013943750411272049,-0.29163795709609985,0.32875144481658936,-0.2176235020160675,-0.1532684564590454
18,661,AgriculturalLand,5,18,POINT (482343.37882511754 1284507.8729641868),661,0.058872222900390625,0.06689999997615814,0.09929999709129333,0.06639999896287918,0.1448500007390976,0.3316187560558319,0.37799376249313354,0.3952000141143799,0.39866873621940613,0.3827868103981018,0.24343125522136688,0.12511250376701355,-0.2376469224691391,-0.5983821749687195,0.7123050093650818,-0.4139876365661621
19,130,AgriculturalLand,5,19,POINT (477717.45516996813 1282101.880565856),130,0.08796735852956772,0.10620000213384628,0.14319999516010284,0.1534000039100647,0.21934375166893005,0.3058750033378601,0.3367687463760376,0.3463999927043915,0.36572501063346863,0.35344722867012024,0.40686875581741333,0.31517499685287476,0.08027513325214386,-0.41503268480300903,0.3861544728279114,0.017341982573270798
20,240,AgriculturalLand,5,20,POINT (480871.7092138154 1284955.4541562712),240,0.07242222130298615,0.08020000159740448,0.10840000212192535,0.11540000140666962,0.17050625383853912,0.2507937550544739,0.2871062457561493,0.30720001459121704,0.32679998874664307,0.32493749260902405,0.2991812527179718,0.18648125231266022,-0.013223941437900066,-0.47834455966949463,0.45385706424713135,-0.1240694597363472
21,138,Water,4,21,POINT (489711.2065871429 1275215.149702232),4208,0.08977361023426056,0.05299999937415123,0.05220000073313713,0.050599999725818634,0.09228750318288803,0.11418750137090683,0.12622499465942383,0.05849999934434891,0.12786249816417694,0.22485069930553436,0.15678749978542328,0.13834375143051147,0.45654067397117615,-0.056910570710897446,0.07241063565015793,0.2577645480632782
22,518,SavannahGrassland,2,22,POINT (489764.39411978336 1289119.5853896716),3888,0.047575000673532486,0.062199998646974564,0.10050000250339508,0.08219999819993973,0.13964374363422394,0.24893124401569366,0.28814375400543213,0.31839999556541443,0.3235187530517578,0.3027312457561493,0.2241312563419342,0.12725624442100525,-0.17375726997852325,-0.5201718807220459,0.5896155834197998,-0.2900465130805969
23,380,Water,4,23,POINT (494121.916183681 1279848.8228409677),4450,0.05312500149011612,0.06780000030994415,0.08079999685287476,0.05009999871253967,0.038743749260902405,0.021562499925494194,0.02176249958574772,0.01720000058412552,0.014537500217556953,0.010968750342726707,0.009168749675154686,0.006649999879300594,-0.30457454919815063,0.6489796042442322,-0.48885586857795715,-0.1992945373058319
24,221,BareLand,6,24,POINT (478539.3784297954 1283435.8752949361),921,0.12105832993984222,0.14839999377727509,0.219200000166893,0.2770000100135803,0.31501251459121704,0.32773125171661377,0.3487749993801117,0.3400000035762787,0.3443812429904938,0.3377423584461212,0.48410001397132874,0.4075062572956085,0.17485742270946503,-0.21602289378643036,0.1021069660782814,0.1671968698501587
25,361,SavannahGrassland,2,25,POINT (476884.9774103687 1279880.4308514476),3731,0.0796888917684555,0.07999999821186066,0.11559999734163284,0.12960000336170197,0.1967875063419342,0.3011062443256378,0.33867499232292175,0.3619999885559082,0.3734875023365021,0.3621208369731903,0.3630625009536743,0.25206249952316284,0.0014653909020125866,-0.5159128904342651,0.47274208068847656,-0.07325512915849686
26,295,Water,4,26,POINT (484257.7028852557 1275693.4889470516),4365,0.029462499544024467,0.038600001484155655,0.05999999865889549,0.03550000116229057,0.09078124910593033,0.2785249948501587,0.33915624022483826,0.39959999918937683,0.36124375462532043,0.29408958554267883,0.13171249628067017,0.0649000033736229,-0.5041995048522949,-0.7389034032821655,0.8368191123008728,-0.6271815896034241
27,242,RoadsAndPavements,1,27,POINT (476977.7005111573 1277092.754535997),2912,0.09799027442932129,0.121799997985363,0.13740000128746033,0.1550000011920929,0.19475625455379486,0.20614999532699585,0.22248749434947968,0.1860000044107437,0.2326125055551529,0.27466875314712524,0.267793744802475,0.21850624680519104,0.1802443265914917,-0.15027830004692078,0.09090909361839294,0.09644158184528351
